channel_name,channel_type,total_addressable_adults,impressions_delivered,reach_adults,campaign_length_days,data_source,notes
ATV,ATV,52000000,7280000,6198551,28,example data,Low spend
ATV,ATV,52000000,13520000,13984953,28,example data,Mid-low spend
ATV,ATV,52000000,19760000,26000000,28,example data,Mid spend
ATV,ATV,52000000,26000000,38015046,28,example data,Mid-high spend
ATV,ATV,52000000,32240000,45801448,28,example data,High spend
ATV,ATV,52000000,3640000,6198551,28,example data,Low spend
ATV,ATV,52000000,8320000,13984953,28,example data,Mid-low spend
ATV,ATV,52000000,13000000,26000000,28,example data,Mid spend
ATV,ATV,52000000,17680000,38015046,28,example data,Mid-high spend
ATV,ATV,52000000,22360000,45801448,28,example data,High spend
Ocean Outdoor,DOOH,52000000,3119999,6198551,28,example data,Low spend
Ocean Outdoor,DOOH,52000000,17680000,13984953,28,example data,Mid-low spend
Ocean Outdoor,DOOH,52000000,32240000,26000000,28,example data,Mid spend
Ocean Outdoor,DOOH,52000000,46800000,38015046,28,example data,Mid-high spend
Ocean Outdoor,DOOH,52000000,61360000,45801448,28,example data,High spend
Spotify,Audio,18000000,2160000,2145652,28,example data,Low spend
Spotify,Audio,18000000,4860000,4840945,28,example data,Mid-low spend
Spotify,Audio,18000000,7560000,9000000,28,example data,Mid spend
Spotify,Audio,18000000,10260000,13159054,28,example data,Mid-high spend
Spotify,Audio,18000000,12960000,15854347,28,example data,High spend
YouTube,Video,48000000,5280000,5721740,28,example data,Low spend
YouTube,Video,48000000,15840000,12909188,28,example data,Mid-low spend
YouTube,Video,48000000,26400000,24000000,28,example data,Mid spend
YouTube,Video,48000000,36960000,35090811,28,example data,Mid-high spend
YouTube,Video,48000000,47520000,42278259,28,example data,High spend
Display Network,Display,55000000,550000,10879886,28,example data,Low spend
Display Network,Display,55000000,12649999,14791778,28,example data,Mid-low spend
Display Network,Display,55000000,42900000,27500000,28,example data,Mid spend
Display Network,Display,55000000,73150000,40208221,28,example data,Mid-high spend
Display Network,Display,55000000,103400000,48443839,28,example data,High spend
Samsung TV Plus,CTV,30000000,2700000,3576087,28,example data,Low spend
Samsung TV Plus,CTV,30000000,8100000,8068242,28,example data,Mid-low spend
Samsung TV Plus,CTV,30000000,13500000,15000000,28,example data,Mid spend
Samsung TV Plus,CTV,30000000,18900000,21931757,28,example data,Mid-high spend
Samsung TV Plus,CTV,30000000,24300000,26423912,28,example data,High spend
